maxamps,distance,station,frequency
2.1047045001160454e-06,446.9399883383615,SMDR,"(0.75, 1.0)"
2.3152713208302466e-05,381.97423496323376,CADR,"(0.75, 1.0)"
2.6580471381759795e-06,456.0679933071374,MIDR,"(0.75, 1.0)"
1.6065039432894754e-05,221.20325619833565,PODR,"(0.75, 1.0)"
3.609140900821849e-05,295.22952625543877,SC01,"(0.75, 1.0)"
2.714291166182379e-05,324.08920129183457,SODR,"(0.75, 1.0)"
1.371668807672024e-07,1026.5719672983696,PRV,"(1.0, 1.25)"
1.321267823487718e-07,967.7971146244818,SJC,"(1.0, 1.25)"
1.2261097834029902e-07,812.6657090744151,SMAR,"(1.0, 1.25)"
1.6147788138590247e-07,761.389556105398,URI,"(1.0, 1.25)"
2.7415473542290042e-06,409.3608662095451,GRTK,"(1.0, 1.25)"
6.937012315772494e-06,247.31773605071447,GTBY,"(1.0, 1.25)"
3.596055449246628e-06,444.2059649860266,MTDJ,"(1.0, 1.25)"
1.3308867140629127e-05,223.97034452759004,SDDR,"(1.0, 1.25)"
1.0050102460617776e-05,295.22942813972355,SC01,"(1.0, 1.25)"
6.5353364975310055e-06,361.44963360469444,SDD,"(1.0, 1.25)"
1.9926047379973796e-07,1098.8152708496646,SDV,"(1.0, 1.25)"
2.828457925378041e-07,761.0432727666753,SJG,"(1.0, 1.25)"
2.8400938930529505e-07,761.0432727666753,SJG,"(1.0, 1.25)"
7.834288711393881e-08,1072.8768161119392,SABA,"(1.0, 1.25)"
1.2761416859179926e-07,1086.2665230229065,SMRT,"(1.0, 1.25)"
1.7197996239201373e-07,713.448183212566,OBIP,"(1.0, 1.25)"
1.894642965588655e-06,523.6322980821316,PCDR,"(1.0, 1.25)"
1.181205107303296e-06,446.9399883383615,SMDR,"(1.0, 1.25)"
6.637366237911133e-06,381.97423496323376,CADR,"(1.0, 1.25)"
1.0724312179863541e-06,456.0679933071374,MIDR,"(1.0, 1.25)"
8.684925565118787e-06,221.20325619833565,PODR,"(1.0, 1.25)"
1.0056051607551069e-05,295.22952625543877,SC01,"(1.0, 1.25)"
2.036086858719602e-05,324.08920129183457,SODR,"(1.0, 1.25)"
