station name,distance,event,location,magnitude of event,type of magnitude,max amplitude,frequency band
PCDR,523.6322980821316,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.8495617728644297e-05,"(0.25, 0.5)"
SMDR,446.9399883383615,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.0322116882045725e-06,"(0.25, 0.5)"
CADR,381.97423496323376,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.480729302954215e-05,"(0.25, 0.5)"
MIDR,456.0679933071374,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.0824881657993396e-05,"(0.25, 0.5)"
PODR,221.20325619833565,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.839844304145692e-05,"(0.25, 0.5)"
SC01,295.22952625543877,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.3881043038935014e-05,"(0.25, 0.5)"
SODR,324.08920129183457,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.64875517493688e-05,"(0.25, 0.5)"
PRV,1026.5719672983696,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.636819679833819e-07,"(0.5, 0.75)"
SJC,967.7971146244818,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.798619879373508e-07,"(0.5, 0.75)"
SMAR,812.6657090744151,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.2779734649256085e-07,"(0.5, 0.75)"
URI,761.389556105398,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.9699823868781546e-07,"(0.5, 0.75)"
GRTK,409.3608662095451,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,9.478964293303298e-06,"(0.5, 0.75)"
GTBY,247.31773605071447,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.171940787317016e-05,"(0.5, 0.75)"
MTDJ,444.2059649860266,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.2266241673178734e-05,"(0.5, 0.75)"
SDDR,223.97034452759004,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.352001926867455e-05,"(0.5, 0.75)"
SC01,295.22942813972355,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.915246902723252e-05,"(0.5, 0.75)"
